Molecule_ID,MW_normalized,logP_normalized,TPSA_normalized,HBD_normalized,HBA_normalized,nRotB_normalized,nArom_normalized,pActivity,Split
Protease_0086,0.46069632824003326,-1.6157907020822255,1.3037697165556401,1.4393194680678412,0.9991671219254472,-0.06634595935939212,-0.4885292248583149,8.113437432453077,Train
GPCR_0070,-0.41584081515009685,1.4428495390236529,-1.3869856586574083,-0.811212437284188,-1.6369702457217434,-0.7194993845091349,-0.4885292248583149,8.455445634283034,Train
Kinase_0211,0.24698799407785127,0.8424675358672751,-0.2900901246126204,-0.811212437284188,0.12045466604305038,-1.3726528096588775,1.4277904424775893,7.771862576603975,Train
GPCR_0162,-1.0256965953718409,-0.10942545471896845,-1.5707943749907476,-1.9364783899602027,0.12045466604305038,-0.06634595935939212,-0.4885292248583149,8.288678620061207,Train
Protease_0248,2.0959888688127815,-1.0847370533068048,3.0180412862478256,0.3140535153918265,1.877879577807844,1.2399608909400932,-0.4885292248583149,8.279278911502649,Train
GPCR_0085,-0.35614777903567474,0.8827351753683665,-0.9942647207507601,-0.811212437284188,-0.7582577898393464,-0.06634595935939212,-0.4885292248583149,8.617980868968303,Train
Protease_0175,-0.5094063195262029,-0.6466622343198919,0.8429714763033114,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,7.880903719795463,Train
Kinase_0200,-0.29757474410595375,0.7349583486388352,-0.2900901246126204,-0.811212437284188,0.12045466604305038,-1.3726528096588775,1.4277904424775893,7.502078455325407,Train
Kinase_0216,0.5217212576551823,1.7940513699122445,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-0.06634595935939212,1.4277904424775893,8.195082383073991,Train
GPCR_0139,0.3094356277005955,-1.6883652001465705,0.7153265344051591,0.3140535153918265,0.9991671219254472,-0.7194993845091349,-0.4885292248583149,8.84606689968287,Train
GPCR_0145,0.7041300992502713,-0.4708294514696396,1.1727209095402045,0.3140535153918265,0.12045466604305038,-0.7194993845091349,-0.4885292248583149,9.0,Train
Kinase_0430,0.5516283163169731,1.1088831853111523,-1.259340716759256,-1.9364783899602027,0.12045466604305038,-0.7194993845091349,1.4277904424775893,7.666295077036534,Train
GPCR_0098,-1.2351368169112356,0.25166938549042844,-0.2798785292607681,0.3140535153918265,-0.7582577898393464,-1.3726528096588775,-0.4885292248583149,9.0,Train
GPCR_0148,-0.7209351919235597,-0.6635885549547076,-0.9398028788742151,0.3140535153918265,0.9991671219254472,-0.06634595935939212,-0.4885292248583149,8.757840335609975,Train
Protease_0074,-1.3572774866484054,-1.2713130259663694,-0.017780915229895392,0.3140535153918265,-0.7582577898393464,0.5868074657903506,-1.446689058526267,7.420809966587047,Train
Kinase_0406,-0.7520833329792092,1.057872356000749,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,8.025451489852125,Train
Protease_0288,-0.0535658373522231,-1.051193568578449,0.4940753017816951,1.4393194680678412,0.12045466604305038,2.5462677412395784,-1.446689058526267,7.528524986487055,Train
Kinase_0356,0.5502964230162453,0.36141995764311236,0.43620959478786614,-0.811212437284188,0.12045466604305038,-0.7194993845091349,1.4277904424775893,7.043129595304329,Train
GPCR_0217,0.7041300992502695,-0.6305860941735832,-0.5909067043525988,0.3140535153918265,1.877879577807844,1.2399608909400932,-0.4885292248583149,9.0,Train
Protease_0157,-0.8708942694645573,-0.5177439566081469,-0.7440806346303815,1.4393194680678412,0.12045466604305038,-0.06634595935939212,-1.446689058526267,8.180369870000858,Train
Protease_0087,0.46069632824003326,-1.6157907020822255,1.3037697165556401,1.4393194680678412,0.9991671219254472,-0.06634595935939212,-0.4885292248583149,8.426215584813393,Train
Kinase_0140,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.487799352534907,Train
Kinase_0257,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.8624656723779935,Train
Protease_0346,0.581323482862737,-0.8199444757046238,0.00094034291516714,-0.811212437284188,0.9991671219254472,1.2399608909400932,-0.4885292248583149,7.567022445888248,Train
Protease_0262,-0.5094063195262029,-0.6466622343198919,0.8429714763033114,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,8.021719247936145,Train
Protease_0141,-0.567767462339898,-0.08214238995143494,-0.7440806346303815,0.3140535153918265,-0.7582577898393464,0.5868074657903506,-1.446689058526267,7.708969146840095,Train
Kinase_0250,1.4307384354016948,1.370197751823988,0.2217660923989701,0.3140535153918265,0.9991671219254472,0.5868074657903506,1.4277904424775893,7.843384256644144,Train
Kinase_0214,-0.7520833329792092,1.057872356000749,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,8.02973268769587,Train
Kinase_0313,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.796241452348204,Train
GPCR_0032,-1.0858436860206013,-1.407032747586168,1.223778886299465,2.5645854207438554,0.12045466604305038,0.5868074657903506,-0.4885292248583149,9.0,Train
Protease_0282,-0.841683427755422,-0.8998614416242546,0.0656137801435638,0.3140535153918265,0.12045466604305038,-0.7194993845091349,-0.4885292248583149,8.09531832336192,Train
Kinase_0137,1.0048050118895007,0.03850595028119939,1.5433167241845063,0.3140535153918265,0.9991671219254472,-0.7194993845091349,1.4277904424775893,6.817521006149565,Train
Kinase_0060,0.5217212576551832,1.9261385021720598,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-0.7194993845091349,1.4277904424775893,8.337383769068357,Train
Kinase_0360,0.36858379837381267,-0.43844530377106605,1.459922028811047,1.4393194680678412,1.877879577807844,0.5868074657903506,0.46963060880963725,6.540495358467152,Train
Kinase_0281,-0.5703404380344854,1.0839960837385003,-0.7440806346303815,0.3140535153918265,-1.6369702457217434,-0.7194993845091349,0.46963060880963725,7.474673601787687,Train
GPCR_0150,-0.8404423453615616,1.0092574898852296,-1.3869856586574083,-0.811212437284188,-1.6369702457217434,-0.7194993845091349,-0.4885292248583149,8.498489143184704,Train
Protease_0294,-0.9034651147278046,-1.118898851117711,0.4583347180502123,-0.811212437284188,0.12045466604305038,-0.06634595935939212,-0.4885292248583149,7.63932836938008,Train
Kinase_0310,1.5942888786705693,1.3388183628845582,-0.2900901246126204,-0.811212437284188,0.12045466604305038,-0.06634595935939212,1.4277904424775893,7.691652102134916,Train
Kinase_0175,1.642388389008205,-0.2211082552546227,1.459922028811047,1.4393194680678412,1.877879577807844,1.8931143160898358,0.46963060880963725,6.620341619899503,Train
Kinase_0433,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.632017974833317,Train
GPCR_0187,-0.41584081515009685,1.4428495390236529,-1.3869856586574083,-0.811212437284188,-1.6369702457217434,-0.7194993845091349,-0.4885292248583149,8.709084569250566,Train
Protease_0225,-0.023779859899589136,-1.2294996037589028,0.5093926948094734,1.4393194680678412,0.9991671219254472,1.8931143160898358,-1.446689058526267,7.906711803103457,Train
Kinase_0429,-0.5703404380344854,1.0839960837385003,-0.7440806346303815,0.3140535153918265,-1.6369702457217434,-0.7194993845091349,0.46963060880963725,7.616409673027438,Train
GPCR_0144,-0.5099814552696998,-1.4214858158907824,0.5961912553002165,-0.811212437284188,0.12045466604305038,-1.3726528096588775,-0.4885292248583149,8.52599096502926,Train
Kinase_0291,1.0359228826428615,1.0431101311548598,0.10263081329402814,-0.811212437284188,0.9991671219254472,-0.06634595935939212,1.4277904424775893,7.632984662446408,Train
Kinase_0071,-0.0859247904994419,-0.2322997220487838,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.806531340826262,Train
Protease_0327,-0.5094063195262029,-0.6466622343198919,0.8429714763033114,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,8.004848515207991,Train
